MovieID,Genre,Name,GenreID,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,Code,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,ra_AVG
35,Horror,احضار,7,0,0,0,0,0,0,1,0,0,0,M35,,,,4,,3,,2,,,,,,1,1,2,,2,2,,2,,4,,,,,1,1,2,,,3,1,,,,2,,2,,2,,,5,3,1,,,2,,2.181818182
36,Romance,کازابلانکا,8,0,0,0,0,0,0,0,1,0,0,M36,2,5,,4,,3,,,3,2,,,,,,5,,,4,,,5,,,,,,1,3,1,,4,,,5,3,5,1,,,,,3,1,2,,,3,,4,4,3.173913043
37,Romance,تایتانیک,8,0,0,0,0,0,0,0,1,0,0,M37,2,4,2,3,,4,,,3,3,,,,,3,4,,3,3,,,4,,3,,,,2,2,,2,3,,3,4,2,4,2,,,,,2,2,3,3,4,2,,5,3,2.966666667
38,Romance,غرور و تعصب,8,0,0,0,0,0,0,0,1,0,0,M38,,,3,5,4,5,2,,4,,,,1,,2,4,,2,4,2,4,3,5,2,,,,3,4,1,,4,,4,3,4,4,3,,,3,,,1,,4,3,3,,4,,3.225806452
39,Romance,اشتباه ستاره سرونوشت ,8,0,0,0,0,0,0,0,1,0,0,M39,,,2,4,3,3,3,4,4,2,2,,,3,4,3,,1,3,1,,4,4,3,3,,,1,,1,,3,3,3,,3,5,2,,,,,,,,2,,2,,,,2.793103448
40,Romance,دفترچه,8,0,0,0,0,0,0,0,1,0,0,M40,,3,1,,,3,,3,,,,,,,3,4,,2,,,,3,4,,,4,,,,,1,2,2,2,5,3,5,,,,,,,,,,,,,,,2.941176471
41,science,تلقین,9,0,0,0,0,0,0,0,0,1,0,M41,4,2,,,,,,,,,,,,4,,3,,5,,,,4,,,5,,,,,4,,2,1,,,4,4,5,5,,,,3,3,3,,,3,,1,3,3.4
42,science,تنت,9,0,0,0,0,0,0,0,0,1,0,M42,,,,,4,,,,,,,4,,,5,4,,4,,,,,3,,4,5,,,,5,,,2,1,,5,4,,4,1,4,,2,3,,,,4,,1,4,3.476190476
43,science,ماتریکس,9,0,0,0,0,0,0,0,0,1,0,M43,,,,,5,,4,,,5,,3,,,,4,,,,,,,2,,3,4,,,5,,4,,1,2,3,4,,4,,,,,,4,,,,,4,1,,3.444444444
44,science,جنگ میان ستاره ای,9,0,0,0,0,0,0,0,0,1,0,M44,,,,,,2,5,,4,,,4,4,5,,3,,4,,4,,5,,4,5,3,,,4,,,2,2,1,,3,5,,,,3,4,,,2,,,3,3,2,4,3.461538462
45,science,موجو فضایی,9,0,0,0,0,0,0,0,0,1,0,M45,,,,,,,,,3,3,,3,,,4,2,,,,3,2,,,,4,,,5,4,4,,1,1,3,4,4,,5,,,,,,,3,4,,,5,2,3,3.272727273
46,War,برادران,10,0,0,0,0,0,0,0,0,0,1,M46,2,,,,4,,3,,,2,3,1,1,,,4,,,,,,,,,2,1,,,5,2,,,,1,,,2,,,,,,3,3,2,1,,,3,2,,2.35
47,War,شجاع دل,10,0,0,0,0,0,0,0,0,0,1,M47,3,,,,3,,2,4,,3,2,2,,,3,3,,,,,,,,,1,2,,,4,,,,,,,,2,5,,,,1,2,4,1,,,3,,3,,2.65
48,War,برباد رفته,10,0,0,0,0,0,0,0,0,0,1,M48,,,,4,,,3,2,3,,3,1,2,2,,5,,,,,,,,,,1,,,3,,3,,1,1,5,,3,,,1,,,,3,,,,3,2,1,,2.476190476
49,War,ماشین جنگ,10,0,0,0,0,0,0,0,0,0,1,M49,,2,,,,,4,3,,1,4,1,,,2,4,,,,,,,,,,1,,,5,,,,2,2,,,1,5,,2,,,3,,,2,,2,1,1,,2.4
50,War,سرزمین من ,10,0,0,0,0,0,0,0,0,0,1,M50,2,1,,5,,,3,,,2,3,3,1,3,3,3,,,,,,,,,,2,,,,,,,1,3,4,,,,,1,1,,,,,,,4,3,1,,2.45
